test_id;date;passed;details
1;02.04.26 11:17;0;"{""1"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}, ""2"": {""selected"": 1, ""status"": ""incorrect"", ""confirmed"": true}, ""3"": {""selected"": 3, ""status"": ""correct"", ""confirmed"": true}, ""4"": {""selected"": 2, ""status"": ""correct"", ""confirmed"": true}, ""5"": {""selected"": 3, ""status"": ""incorrect"", ""confirmed"": true}, ""6"": {""selected"": 1, ""status"": ""incorrect"", ""confirmed"": true}, ""7"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}, ""8"": {""selected"": 1, ""status"": ""incorrect"", ""confirmed"": true}, ""9"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}}"
2;02.04.26 11:18;0;"{""1"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}, ""2"": {""selected"": 0, ""status"": ""correct"", ""confirmed"": true}, ""3"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}, ""4"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}, ""5"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}, ""6"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}, ""7"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}, ""8"": {""selected"": 0, ""status"": ""correct"", ""confirmed"": true}, ""9"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}}"
3;02.04.26 11:32;0;"{""1"": {""selected"": 2, ""status"": ""incorrect"", ""confirmed"": true}, ""2"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""3"": {""selected"": 0, ""status"": ""incorrect"", ""confirmed"": true}, ""4"": {""selected"": 1, ""status"": ""incorrect"", ""confirmed"": true}, ""5"": {""selected"": 2, ""status"": ""correct"", ""confirmed"": true}, ""6"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""7"": {""selected"": 2, ""status"": ""incorrect"", ""confirmed"": true}, ""8"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""9"": {""selected"": 1, ""status"": ""incorrect"", ""confirmed"": true}}";00:20
4;02.04.26 11:33;0;"{""1"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""2"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""3"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""4"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""5"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""6"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""7"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""8"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""9"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}}";00:02
5;02.04.26 11:56;1;"{""17"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""6"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""14"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""9"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""19"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""7"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""2"": {""selected"": 3, ""status"": ""correct"", ""confirmed"": true}, ""11"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""8"": {""selected"": 3, ""status"": ""correct"", ""confirmed"": true}, ""12"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""10"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""15"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""1"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""16"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""4"": {""selected"": 3, ""status"": ""correct"", ""confirmed"": true}, ""20"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""18"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""13"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""3"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}, ""5"": {""selected"": 4, ""status"": ""correct"", ""confirmed"": true}}";01:27
6;02.04.26 14:03;0;"{""5"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""15"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""12"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""6"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""19"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""16"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""8"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""9"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""7"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""4"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""17"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""11"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""3"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""10"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""14"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""13"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""2"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""18"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""20"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}, ""1"": {""selected"": -1, ""status"": ""unanswered"", ""confirmed"": true}}";00:24
7;02.04.26 14:31;0;"{""34"": {""selected"": [0], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""31"": {""selected"": [1], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""38"": {""selected"": [2], ""score"": 1.0, ""status"": ""correct"", ""confirmed"": true}, ""28"": {""selected"": [2], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""30"": {""selected"": [2], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""29"": {""selected"": [1], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""33"": {""selected"": [2], ""score"": 1.0, ""status"": ""correct"", ""confirmed"": true}, ""23"": {""selected"": [1], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""26"": {""selected"": [2], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""25"": {""selected"": [2], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""22"": {""selected"": [2], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""21"": {""selected"": [3], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""32"": {""selected"": [4], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""36"": {""selected"": [1, 2], ""score"": 0.5, ""status"": ""incorrect"", ""confirmed"": true}, ""27"": {""selected"": [2], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""40"": {""selected"": [3], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""39"": {""selected"": [3], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""37"": {""selected"": [2], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""35"": {""selected"": [1], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""24"": {""selected"": [1], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}}";01:21
8;02.04.26 15:13;0;"{""52"": {""selected"": [3], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""47"": {""selected"": [3], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""58"": {""selected"": [2], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""59"": {""selected"": [2], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""48"": {""selected"": [2], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""57"": {""selected"": [1], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""60"": {""selected"": [2], ""score"": 1.0, ""status"": ""correct"", ""confirmed"": true}, ""50"": {""selected"": [1], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""55"": {""selected"": [1], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""45"": {""selected"": [1], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""53"": {""selected"": [3], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""49"": {""selected"": [3], ""score"": 1.0, ""status"": ""correct"", ""confirmed"": true}, ""54"": {""selected"": [3], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""41"": {""selected"": [3], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""51"": {""selected"": [3], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""42"": {""selected"": [3], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}, ""46"": {""selected"": [3], ""score"": 1.0, ""status"": ""correct"", ""confirmed"": true}, ""44"": {""selected"": [4], ""score"": 0.5, ""status"": ""incorrect"", ""confirmed"": true}, ""43"": {""selected"": [1], ""score"": 1.0, ""status"": ""correct"", ""confirmed"": true}, ""56"": {""selected"": [1], ""score"": 0.0, ""status"": ""incorrect"", ""confirmed"": true}}";00:48
